%cpu,%mem
0.2,0.0163583
0.0,0.0163389
1.1,0.0163389
0.2,0.0163408
0.2,0.0163408
0.2,0.0163563
0.2,0.0163505
0.2,0.0163524
0.4,0.0163505
0.4,0.0163486
0.4,0.0163486
0.2,0.0163486
0.4,0.0163563
0.2,0.0163486
0.2,0.0163486
1.3,0.0163621
0.2,0.016366
0.2,0.0163505
0.4,0.0163524
0.2,0.0163524
0.4,0.0163505
0.4,0.0163524
